Artists,Name,Year,Weekly.rank,Week,Max.Weeks.on.chart,Genre,acousticness,danceability,energy,key,tempo,valence,cluster
Rihanna,SOS,2006,1,2006-05-24,28,"Synth-Pop,Dance-Pop,Dance,Pop",0.004087617,0.64604811,0.654218534,0.636363636,0.544767144,0.521789842,0
Bruno Mars,Just The Way You Are,2010,1,2010-10-07,48,"Ballad,Adult Contemporary,Soul Pop,Soul,R&;B,Pop",0.015437337,0.600229095,0.837216725,0.454545455,0.371866115,0.423178878,0
Coldplay,Viva La Vida,2008,1,2008-06-26,51,"Pop,Adult Alternative,Adult Contemporary,Pop-Rock,Chamber Music,Baroque Pop,British Rock,Soundtrack,Alternative,UK,Alternative Rock,Rock",0.096214625,0.426116838,0.598893499,0.454545455,0.550755833,0.404092885,0
Lady Gaga,Born This Way,2011,1,2011-03-10,20,"Electronic,Electro-Pop,Synth-Pop,Disco,LGBTQ+,Pop",0.003341194,0.542955326,0.821257581,1,0.463731736,0.486798855,0
Katy Perry,Roar,2013,1,2013-09-13,35,Pop,0.00497719,0.505154639,0.761676774,0.636363636,0.809589303,0.44544587,0
Nickelback,How You Remind Me,2002,1,2002-01-01,49,"Alternative Rock,Hard Rock,Post-Grunge,Rock",0.001377999,0.381443299,0.75316523,0.909090909,0.760927352,0.538755169,0
Travis Scott,Sicko Mode,2018,1,2018-12-08,47,"Hip-Hop,Memes,Rap,Canada,Trap",0.005243039,0.825887743,0.716991169,0.727272727,0.655548634,0.435902874,0
Katy Perry,Dark Horse,2014,1,2014-02-07,57,"Trap,Rap,Producer,Pop",0.003208269,0.609392898,0.562719438,0.545454545,0.513220138,0.33729191,0
Kelly Clarkson,My Life Would Suck Without You,2009,1,2009-02-12,24,"Pop-Rock,Pop",0.001429124,0.473081329,0.878710501,0.818181818,0.593712802,0.412575549,0
Avril Lavigne,Girlfriend,2007,1,2007-05-02,24,"Pop-Rock,Pop-Punk,Canada,Pop",0.000752231,0.512027491,0.96063411,0.636363636,0.710902374,0.673417453,0
