PeakPosition,Year,WeeksOnChart,Artists,Name,cluster,Popularity,,.WeeksOnChart
4,2017,52,Imagine Dragons,Believer,4,87,,52
2,2019,0,"Marshmello, Bastille",Happier,4,86,,45
4,2019,0,Panic! At The Disco,High Hopes,4,84,,47
1,2018,0,Childish Gambino,This Is America,4,83,,17
3,2011,0,Foster The People,Pumped Up Kicks,4,83,,40
6,2016,0,Shawn Mendes,Treat You Better,4,82,,39
5,2016,0,twenty one pilots,Ride,4,81,,39
1,2010,0,Eminem,Love The Way You Lie,4,81,,29
6,2017,0,Shawn Mendes,There's Nothing Holdin' Me Back,4,81,,34
3,2017,0,French Montana,Unforgettable,4,81,,42
1,2012,0,Bruno Mars,Locked Out Of Heaven,4,80,,36
9,2016,0,DNCE,Cake By The Ocean,4,80,,46
4,2012,0,One Direction,What Makes You Beautiful,4,80,,34
6,2018,0,"Lil Baby, Drake",Yes Indeed,4,80,,29
9,2004,0,Britney Spears,Toxic,4,79,,20
1,2004,0,OutKast,Hey Ya!,4,79,,32
4,1999,0,Smash Mouth,All Star,4,79,,30
7,2017,0,"Zedd, Alessia Cara",Stay,4,78,,31
1,2005,0,50 Cent,Candy Shop,4,78,,23
3,2000,53,3 Doors Down,Kryptonite,4,77,,53
7,2013,0,Eminem,Rap God,4,77,,20
1,2015,0,Justin Bieber,What Do You Mean?,4,77,,31
4,2016,0,Flo Rida,My House,4,76,,39
2,2009,0,Kanye West,Heartless,4,76,,30
5,2004,0,Maroon 5,This Love,4,76,,43
5,2010,0,Justin Bieber,Baby,4,76,,20
1,2000,0,Destiny's Child,Say My Name,4,76,,32
2,2005,0,Rihanna,Pon de Replay,4,75,,27
2,2015,52,Fetty Wap,Trap Queen,4,75,,52
1,2011,65,Adele,Rolling In The Deep,4,75,,65
3,2001,0,Nelly,Ride Wit Me,4,74,,29
1,2003,0,Sean Paul,Get Busy,4,74,,32
7,2011,0,Hot Chelle Rae,Tonight Tonight,4,74,,30
7,2006,0,Rascal Flatts,Life Is A Highway,4,73,,20
1,2001,0,Usher,U Remind Me,4,73,,24
5,2001,0,Uncle Kracker,Follow Me,4,73,,33
9,2015,0,Andy Grammer,"Honey, I'm Good.",4,72,,31
1,2002,0,Nelly,Hot In Herre,4,72,,26
2,2001,0,Eve,Let Me Blow Ya Mind,4,72,,33
10,2014,0,Paramore,Ain't It Fun,4,72,,24
7,2002,0,Kylie Minogue,Can't Get You Out Of My Head,4,72,,20
1,2016,52,Sia,Cheap Thrills,4,72,,52
1,2008,0,Rihanna,Disturbia,4,72,,37
6,2008,0,Lil Wayne,A Milli,4,72,,23
1,2009,0,Lady Gaga,Poker Face,4,72,,40
