Artists,Name,Year,PeakPosition,WeeksOnChart,Popularity,Acousticness,Danceability,Energy,Key,Tempo,Valence,Cluster
"Lady Gaga, Bradley Cooper",Shallow,2019,1,39,86,0.379344131,0.525773196,0.349930844,0.636363636,0.290374308,0.305481921,2
Ariana Grande,7 Rings,2019,1,23,87,0.605316037,0.761741123,0.277582722,0.090909091,0.563282122,0.309723253,3
Jonas Brothers,Sucker,2019,1,17,85,0.043658263,0.835051546,0.721246941,0.090909091,0.550391948,0.972431343,1
Maroon 5,Girls Like You,2018,1,52,64,0.570551129,0.570446735,0.431854453,0,0.067331117,0.3627399,3
Travis Scott,Sicko Mode,2018,1,47,92,0.005243039,0.825887743,0.716991169,0.727272727,0.655548634,0.435902874,0
XXXTENTACION,Sad!,2018,1,38,87,0.263801935,0.718213058,0.592509841,0.727272727,0.16223734,0.464531863,2
Ariana Grande,"Thank U, Next",2018,1,28,85,0.234149513,0.691867125,0.63506756,0.090909091,0.359247312,0.399851553,1
Childish Gambino,This Is America,2018,1,17,83,0.119629813,0.848797251,0.432918396,0.454545455,0.439783149,0.545117167,4
Ed Sheeran,Shape Of You,2017,1,59,85,0.594068567,0.815578465,0.634003617,0.090909091,0.291472132,0.950164352,1
Cardi B,Bodak Yellow,2017,1,35,74,0.067380201,0.931271478,0.688264709,1,0.470608552,0.477255858,2
The Weeknd,Starboy,2017,1,30,84,0.144169749,0.648339061,0.564847324,0.636363636,0.846711772,0.478316191,0
Sia,Cheap Thrills,2016,1,52,72,0.048259501,0.589919817,0.682944994,0.545454545,0.254460679,0.739158096,4
Justin Bieber,Love Yourself,2016,1,41,81,0.853782884,0.568155785,0.342483243,0.363636364,0.318862211,0.509065847,3
Drake,One Dance,2016,1,36,82,0.007932207,0.777777778,0.605277157,0.090909091,0.340750837,0.35531757,1
Zayn,Pillowtalk,2016,1,24,78,0.119629813,0.5395189,0.68507288,1,0.470127483,0.42742021,2
Justin Bieber,What Do You Mean?,2015,1,31,77,0.603271043,0.838487973,0.543568465,0.454545455,0.470596217,0.803838405,4
Adele,Hello,2015,1,26,72,0.343556725,0.421534937,0.42015108,0.454545455,0.67379224,0.269430601,3
Taylor Swift,Bad Blood,2015,1,25,65,0.089057144,0.617411226,0.793595063,0.636363636,0.748980813,0.275792599,0
John Legend,All Of Me,2014,1,59,85,0.94274015,0.35395189,0.221193744,0.727272727,0.4392034,0.313964585,3
Katy Perry,Dark Horse,2014,1,57,75,0.003208269,0.609392898,0.562719438,0.545454545,0.513220138,0.33729191,0
Meghan Trainor,All About That Bass,2014,1,47,71,0.058586724,0.794959908,0.884030216,0.818181818,0.526301507,0.98197434,4
MAGIC!,Rude,2014,1,41,78,0.043249264,0.757159221,0.744653687,0.090909091,0.587853632,0.950164352,1
Iggy Azalea,Fancy,2014,1,39,68,0.092431385,0.915234822,0.702095968,0.909090909,0.285329255,0.3627399,2
Robin Thicke,Blurred Lines,2013,1,48,52,0.004210317,0.856815578,0.476540057,0.636363636,0.439635128,0.897147704,4
Lorde,Royals,2013,1,44,10,0.041408769,0.634593356,0.489307373,0.636363636,0.223080197,0.365920899,2
Katy Perry,Roar,2013,1,35,75,0.00497719,0.505154639,0.761676774,0.636363636,0.809589303,0.44544587,0
Miley Cyrus,Wrecking Ball,2013,1,32,75,0.416154034,0.47766323,0.389296734,0.454545455,0.439413096,0.333050578,3
Eminem,The Monster,2013,1,29,74,0.053678737,0.765177549,0.847856155,0.090909091,0.378261862,0.624642138,1
Gotye,Somebody That I Used To Know,2012,1,59,76,0.60429354,0.860252005,0.466964571,0,0.495525444,0.7264341,3
Bruno Mars,Locked Out Of Heaven,2012,1,36,80,0.050099996,0.702176403,0.682944994,0.454545455,0.587619265,0.882303043,4
Flo Rida,Whistle,2012,1,29,76,0.021265572,0.726231386,0.937227365,0,0.340806345,0.746580426,1
Rihanna,Diamonds,2012,1,26,55,0.001275749,0.516609393,0.69571231,1,0.266771104,0.379705227,2
Adele,Rolling In The Deep,2011,1,65,75,0.133944776,0.705612829,0.744653687,0.727272727,0.346782699,0.516488177,4
Adele,Someone Like You,2011,1,39,78,0.912065231,0.510882016,0.29141398,0.818181818,0.532820605,0.265189269,2
Bruno Mars,Grenade,2011,1,36,75,0.149282236,0.679266896,0.533992978,0.181818182,0.380691875,0.203689959,3
Wiz Khalifa,Black And Yellow,2011,1,25,74,0.066050954,0.654066438,0.827641238,0.181818182,0.711130573,0.533453504,1
Lady Gaga,Born This Way,2011,1,20,68,0.003341194,0.542955326,0.821257581,1,0.463731736,0.486798855,0
