,Artists,Name,Year,Weekly.rank,Week,Max.Weeks.on.chart,Genre,acousticness,danceability,energy,key,tempo,valence,cluster
0,Crazy Town,Butterfly,2001,1,2001-04-03,23,"Rock,Rap",0.001347324259501311,0.7136311569301259,0.8031705500585168,0.8181818181818182,0.3378829276114938,0.6087371434630473,4
1,Iggy Azalea,Fancy,2014,1,2014-07-11,39,"Fashion,Hyphy,Electronic,UK Rap,UK,Australia,Electro-Hop,Pop,Rap",0.09243138490880673,0.9152348224513174,0.7020959676561336,0.9090909090909092,0.2853292545285217,0.3627399003287032,2
2,Ariana Grande,7 Rings,2019,1,2019-03-02,23,"Memes,Trap,R&;B,Pop",0.6053160371505177,0.7617411225658648,0.2775827215661241,0.09090909090909091,0.5632821221297775,0.3097232531014739,3
3,Taio Cruz,Break Your Heart,2010,1,2010-03-18,29,"Pop,Rap",0.00158249864151007,0.6334478808705611,0.8967975316523035,0.7272727272727273,0.452278600460099,0.6299438023539392,4
4,Jennifer Lopez,I'm Real,2001,1,2001-10-23,31,"Remix,R&;B,Rap",0.00479314020458617,0.872852233676976,0.8372167251835301,0.6363636363636364,0.3828443496012681,0.7402184285865763,4
5,Chamillionaire,Ridin',2006,1,2006-05-31,31,"Conscious Hip-Hop,Gangsta Rap,Memes,Rap",0.1932496199786486,0.7731958762886597,0.7893392914139801,0.7272727272727273,0.5818032675667177,0.8494327218746687,4
6,Ariana Grande,"Thank U, Next",2018,1,2018-12-01,28,"Dream-Pop,Memes,R&;B,Pop",0.2341495125019111,0.6918671248568157,0.6350675603787637,0.09090909090909091,0.3592473124911341,0.3998515533877637,1
7,Taylor Swift,Blank Space,2015,1,2015-01-09,36,"Teen Pop,Synth-Pop,Electro-Pop,Pop",0.0869098994181663,0.7319587628865979,0.6616661346951802,0.4545454545454546,0.2916694934593158,0.5811684869048881,4
8,Cardi B,Bodak Yellow,2017,1,2017-10-21,35,"Trap,Rap",0.0673802007383085,0.9312714776632303,0.688264709011597,1.0,0.4706085519214995,0.4772558583395186,2
9,Lorde,Royals,2013,1,2013-10-11,44,"Alternative,Art Pop,Adult Alternative,New Zealand,Memes,Electro-Pop,Alternative Pop,Pop",0.04140876898603685,0.6345933562428407,0.4893073731248005,0.6363636363636364,0.2230801966214173,0.365920899162337,2
10,Sia,Cheap Thrills,2016,1,2016-08-06,52,"Jamaica,Remix,Australia,Rap,Synth-Pop,Pop",0.04825950098368331,0.5899198167239404,0.6829449941483136,0.5454545454545454,0.2544606788002886,0.7391580956420316,4
11,Rihanna,SOS,2006,1,2006-05-24,28,"Synth-Pop,Dance-Pop,Dance,Pop",0.004087617058559894,0.6460481099656358,0.6542185338865836,0.6363636363636364,0.5447671442404356,0.5217898420103912,0
12,Mariah Carey,We Belong Together,2005,1,2005-06-22,43,"R&;B,Pop",0.03466028671969856,0.8293241695303551,0.4318544526013406,0.0,0.5628997341786983,0.7709680839783692,1
13,Bruno Mars,Just The Way You Are,2010,1,2010-10-07,48,"Ballad,Adult Contemporary,Soul Pop,Soul,R&;B,Pop",0.01543733723376522,0.6002290950744559,0.8372167251835301,0.4545454545454546,0.3718661148767415,0.4231788781677447,0
14,Katy Perry,E.T.,2011,1,2011-04-21,30,"Remix,Hip-Hop,Electronic,Rap,Pop",0.0185048291730099,0.5807560137457044,0.8648792424726036,0.09090909090909091,0.635047705980671,0.7688474180892801,1
15,Katy Perry,I Kissed A Girl,2008,1,2008-08-14,23,"Rock,Pop-Rock,Dance-Pop,Pop",0.002277796814405531,0.6712485681557847,0.7489094584530269,0.4545454545454546,0.501285933674193,0.7009861096384264,4
16,Miley Cyrus,Wrecking Ball,2013,1,2013-10-04,32,"Adult Contemporary,Ballad,Memes,Pop",0.4161540342304288,0.4776632302405498,0.3892967336950739,0.4545454545454546,0.4394130961705696,0.3330505778814548,3
17,Bruno Mars,Locked Out Of Heaven,2012,1,2012-12-28,36,Pop,0.05009999614723012,0.702176403207331,0.6829449941483136,0.4545454545454546,0.5876192649516772,0.882303043155551,4
18,Maroon 5,Girls Like You,2018,1,2018-11-10,52,"Pop-Rock,East Coast,Remix,Rap,Pop",0.5705511285057445,0.570446735395189,0.4318544526013406,0.0,0.06733111712789636,0.3627399003287032,3
19,Maroon 5,One More Night,2012,1,2012-11-16,42,"Pop-Rock,Pop",0.04539650850705494,0.693012600229095,0.8127460368124267,0.4545454545454546,0.2730990076415915,0.6129784752412257,4
20,TLC,Unpretty,1999,1,1999-09-27,32,"R&;B,Rap",0.001551823722117623,0.6128293241695304,0.602085328226407,0.6363636363636364,0.2464922073036098,0.5037641819531333,2
21,Drake,One Dance,2016,1,2016-07-23,36,"Nigeria,Afrobeats,Pop,Rap,R&;B,Dancehall,Canada",0.00793220695574656,0.7777777777777778,0.605277157144377,0.09090909090909091,0.3407508372445864,0.3553175697168911,1
22,Nelly Furtado,Promiscuous,2006,1,2006-07-05,26,"Dance-Pop,Synth-Pop,R&;B,Canada,Pop,Rap",0.04703250420798544,0.7812142038946163,0.9808490264921801,0.9090909090909092,0.4046096250747814,0.8568550524864809,4
