PeakPosition,Year,WeeksOnChart,Artists,Name,cluster
1,2001,23,Crazy Town,Butterfly,4
1,2014,39,Iggy Azalea,Fancy,2
1,2019,23,Ariana Grande,7 Rings,3
1,2010,29,Taio Cruz,Break Your Heart,4
1,2001,31,Jennifer Lopez,I'm Real,4
1,2006,31,Chamillionaire,Ridin',4
1,2018,28,Ariana Grande,"Thank U, Next",1
1,2015,36,Taylor Swift,Blank Space,4
1,2017,35,Cardi B,Bodak Yellow,2
1,2013,44,Lorde,Royals,2
1,2016,52,Sia,Cheap Thrills,4
1,2006,28,Rihanna,SOS,0
1,2005,43,Mariah Carey,We Belong Together,1
1,2010,48,Bruno Mars,Just The Way You Are,0
1,2011,30,Katy Perry,E.T.,1
1,2008,23,Katy Perry,I Kissed A Girl,4
1,2013,32,Miley Cyrus,Wrecking Ball,3
1,2012,36,Bruno Mars,Locked Out Of Heaven,4
1,2018,52,Maroon 5,Girls Like You,3
1,2012,42,Maroon 5,One More Night,4
1,1999,32,TLC,Unpretty,2
1,2016,36,Drake,One Dance,1
1,2006,26,Nelly Furtado,Promiscuous,4
1,2002,26,Nelly,Hot In Herre,4
1,2012,26,Rihanna,Diamonds,2
1,2016,27,Rae Sremmurd,Black Beatles,1
1,2008,39,Leona Lewis,Bleeding Love,2
1,2001,28,Shaggy,Angel,4
1,2009,40,Lady Gaga,Poker Face,4
1,2000,33,Savage Garden,I Knew I Loved You,2
1,2017,20,Taylor Swift,Look What You Made Me Do,2
1,2010,22,Rihanna,Rude Boy,1
1,2006,32,Daniel Powter,Bad Day,1
1,2002,32,Ashanti,Foolish,1
1,1999,20,Enrique Iglesias,Bailamos,4
1,2010,22,Rihanna,What's My Name?,1
1,2004,30,Usher,Burn,1
1,1999,25,Christina Aguilera,Genie In A Bottle,1
1,2002,27,Jennifer Lopez,Ain't It Funny,1
1,2016,52,The Chainsmokers,Closer,2
1,2011,36,Bruno Mars,Grenade,3
1,2000,32,Destiny's Child,Say My Name,4
1,2004,32,OutKast,Hey Ya!,4
1,2011,65,Adele,Rolling In The Deep,4
1,2017,59,Ed Sheeran,Shape Of You,1
1,2018,57,Ed Sheeran,Perfect,2
1,2005,31,Gwen Stefani,Hollaback Girl,4
1,2002,29,Nelly,Dilemma,1
1,2000,55,Lonestar,Amazed,3
1,2001,25,Shaggy,It Wasn't Me,1
1,2001,41,Mary J. Blige,Family Affair,4
1,2010,33,Katy Perry,Teenage Dream,4
1,2012,24,Taylor Swift,We Are Never Ever Getting Back Together,4
1,2012,29,Flo Rida,Whistle,1
1,2002,27,Ja Rule,Always On Time,4
1,2008,31,T.I.,Whatever You Like,1
1,2009,49,Lady Gaga,Just Dance,1
1,2018,36,Drake,God's Plan,2
1,2013,48,Robin Thicke,Blurred Lines,4
1,2006,21,Fergie,London Bridge,1
1,2011,17,Britney Spears,Hold It Against Me,1
1,2008,37,Rihanna,Disturbia,4
1,2004,22,Twista,Slow Jamz,1
1,2001,23,OutKast,Ms. Jackson,4
1,2008,51,Coldplay,Viva La Vida,0
1,2009,26,Flo Rida,Right Round,4
1,2001,34,Alicia Keys,Fallin',2
1,2005,39,Kanye West,Gold Digger,1
1,2017,52,"Luis Fonsi, Daddy Yankee",Despacito,1
1,2004,25,Usher,Confessions Part II,1
1,2014,50,Taylor Swift,Shake It Off,4
